"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29774","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:15:06 GMT 2025","passed","Thu Jul 10 13:15:36 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testFirstProjectCreate"
"","11663","testEditTestCase","Testrail Regression Test","Thu Jul 10 13:16:39 GMT 2025","passed","Thu Jul 10 13:16:50 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testEditTestCase"
"","2217","Delete project","Testrail Regression Test","Thu Jul 10 13:15:10 GMT 2025","passed","Thu Jul 10 13:15:12 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testDeleteProject"
"","2790","Log in with invalid password","Testrail Regression Test","Thu Jul 10 13:16:09 GMT 2025","passed","Thu Jul 10 13:16:12 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongPassword"
"","1797","Get all projects","Testrail Regression Test","Thu Jul 10 13:15:13 GMT 2025","passed","Thu Jul 10 13:15:15 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testGetAllProjects"
"","3028","Successful login","Testrail Regression Test","Thu Jul 10 13:16:13 GMT 2025","passed","Thu Jul 10 13:16:16 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testLoginWithValidCredentials"
"","2472","Log in with invalid email","Testrail Regression Test","Thu Jul 10 13:16:06 GMT 2025","passed","Thu Jul 10 13:16:08 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithWrongEmail"
"","10602","testDeleteTestCase","Testrail Regression Test","Thu Jul 10 13:16:27 GMT 2025","passed","Thu Jul 10 13:16:37 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testDeleteTestCase"
"","3031","Create new project","Testrail Regression Test","Thu Jul 10 13:15:06 GMT 2025","passed","Thu Jul 10 13:15:09 GMT 2025","tests.api.ProjectsTest","API regression","tests.api.ProjectsTest","testCreateNewProject"
"","6262","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:15:37 GMT 2025","passed","Thu Jul 10 13:15:44 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectCreate"
"","2523","Unsuccessful log in with empty password","Testrail Regression Test","Thu Jul 10 13:16:03 GMT 2025","passed","Thu Jul 10 13:16:05 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyPassword"
"","9285","testCreateNewTestCaseWithAllFields","Testrail Regression Test","Thu Jul 10 13:16:16 GMT 2025","passed","Thu Jul 10 13:16:26 GMT 2025","tests.ui.TestCaseTest","UI regression","tests.ui.TestCaseTest","testCreateNewTestCaseWithAllFields"
"","2533","Unsuccessful log in with empty email","Testrail Regression Test","Thu Jul 10 13:16:00 GMT 2025","passed","Thu Jul 10 13:16:02 GMT 2025","tests.ui.LoginTest","UI regression","tests.ui.LoginTest","testInvalidLoginWithEmptyEmail"
"","5554","Opening project overview page from dashboard page","Testrail Regression Test","Thu Jul 10 13:15:53 GMT 2025","passed","Thu Jul 10 13:15:58 GMT 2025","tests.ui.DashboardTest","UI regression","tests.ui.DashboardTest","testOpeningProjectOverviewPage"
"","5276","Successful creation new project","Testrail Regression Test","Thu Jul 10 13:15:46 GMT 2025","passed","Thu Jul 10 13:15:51 GMT 2025","tests.ui.CreateNewProjectTest","UI regression","tests.ui.CreateNewProjectTest","testNewProjectIsShownOnDashboardPage"
